Feinstaubmesssystem Messdaten ;;;;;;;;;;;;;;;;;;;;;;
PM1.0; PM2.5; PM10; Temperature; Humidity; Pressure; Acc-X; Acc-Y; Acc-Z; CO2; Time; Date; Fix; Quality; Voltage; Current; Power; Location; Location; Speed (knots); Angle; Altidude; Satellites 
0;0;0;14.84;44.11;993.47;20.44;60.5;-4.31;0; 13:45:44:184; 26:12:21;0;0;5.11;205.4;1045.6;;;;;;
150;15;0;14.81;44.27;993.42;0;0;0; nan; 13:46:6:938; 26:12:21;1;1;5.17;148.72;766.4; 4900.88N; 821.70E;11;278.72;111.7;5
150;15;0;14.84;44.13;993.5;359.94;60.56;-4.81; nan; 13:46:13:937; 26:12:21;1;1;5.17;154.92;802.4; 4900.88N; 821.66E;10.84;272.32;111.5;6
187;17;0;14.8;44.3;993.64;4.69;60.56;-12.06; nan; 13:46:21:0; 26:12:21;1;1;4.84;201.4;972.8; 4900.88N; 821.64E;9.51;266.63;111.1;6
214;16;0;14.88;44.35;993.63;0;0;0; nan; 13:46:30:0; 26:12:21;1;1;5.16;186.4;960.8; 4900.86N; 821.60E;6.38;212.77;111.2;6
228;19;1;14.81;44.58;993.66;315.69;65.81;-5.25; nan; 13:46:37:0; 26:12:21;1;1;5.17;171.2;880.8; 4900.85N; 821.60E;5.12;163.95;111;6
256;31;3;14.81;44.71;993.67;242.44;55.75;7.19; nan; 13:46:44:0; 26:12:21;1;1;5.16;183.6;944.8; 4900.85N; 821.63E;8.23;93.93;111.2;6
240;28;3;14.6;44.72;993.62;248.44;53.87;16.87; nan; 13:46:51:0; 26:12:21;1;1;5.17;162.52;837.6; 4900.85N; 821.66E;8.23;114.52;111;6
239;31;1;14.59;44.85;993.58;0;0;0; nan; 13:47:3:0; 26:12:21;1;1;5.17;169.12;872; 4900.85N; 821.70E;7.1;91.71;111.7;6
232;26;1;14.57;44.9;993.58;12.19;3.75;22.13; nan; 13:47:10:0; 26:12:21;1;1;5.1;165.8;892.8; 4900.85N; 821.72E;7.06;110.22;112.1;6
229;23;0;14.57;44.82;993.61;350.62;58.69;1.69; nan; 13:47:17:0; 26:12:21;1;1;4.89;155.6;764; 4900.85N; 821.74E;4.94;85.04;111.1;6
257;16;0;14.68;46.78;993.66;325.94;11.44;7.94;880.3; 13:47:17:0; 26:12:21;1;1;5.14;186.92;959.2; 4900.85N; 821.74E;4.94;85.04;111.1;6
225;18;1;14.77;47.53;993.7;0.06;0.75;0; nan; 13:48:40:0; 26:12:21;1;1;5.11;150.6;766.4; 4900.84N; 821.80E;0.13;198.68;111.1;7
